split,group_col,group_value,nominal_coverage,empirical_coverage,coverage_gap,n_rows,mean_predicted_sigma,mean_abs_residual,enough_sample
test,prediction_hour,16,0.5,0.7029702970297029,0.20297029702970293,505,0.46652849108437344,0.4217420750635227,True
test,prediction_hour,16,0.8,0.897029702970297,0.097029702970297,505,0.46652849108437344,0.4217420750635227,True
test,prediction_hour,16,0.9,0.9425742574257425,0.0425742574257425,505,0.46652849108437344,0.4217420750635227,True
test,prediction_hour,17,0.5,0.7227722772277227,0.22277227722772275,505,0.4263276009899665,0.3770722861460327,True
test,prediction_hour,17,0.8,0.9386138613861386,0.13861386138613851,505,0.4263276009899665,0.3770722861460327,True
test,prediction_hour,17,0.9,0.9722772277227723,0.07227722772277223,505,0.4263276009899665,0.3770722861460327,True
test,prediction_hour,18,0.5,0.7267326732673267,0.2267326732673267,505,0.4039480314710169,0.3600200999155843,True
test,prediction_hour,18,0.8,0.9346534653465347,0.13465346534653466,505,0.4039480314710169,0.3600200999155843,True
test,prediction_hour,18,0.9,0.9702970297029703,0.07029702970297025,505,0.4039480314710169,0.3600200999155843,True
test,prediction_hour,19,0.5,0.7207920792079208,0.22079207920792077,505,0.3873320990631393,0.3551661765572038,True
test,prediction_hour,19,0.8,0.9306930693069307,0.1306930693069307,505,0.3873320990631393,0.3551661765572038,True
test,prediction_hour,19,0.9,0.9683168316831683,0.06831683168316827,505,0.3873320990631393,0.3551661765572038,True
test,prediction_hour,20,0.5,0.7168316831683168,0.2168316831683168,505,0.38120454853043056,0.3499504630514957,True
test,prediction_hour,20,0.8,0.9306930693069307,0.1306930693069307,505,0.38120454853043056,0.3499504630514957,True
test,prediction_hour,20,0.9,0.9683168316831683,0.06831683168316827,505,0.38120454853043056,0.3499504630514957,True
test,prediction_hour,21,0.5,0.7128712871287128,0.21287128712871284,505,0.37482853565028923,0.34895333648608556,True
test,prediction_hour,21,0.8,0.9366336633663367,0.13663366336633664,505,0.37482853565028923,0.34895333648608556,True
test,prediction_hour,21,0.9,0.9683168316831683,0.06831683168316827,505,0.37482853565028923,0.34895333648608556,True
test,prediction_hour,22,0.5,0.7168316831683168,0.2168316831683168,505,0.3746804602434069,0.3364642340182958,True
test,prediction_hour,22,0.8,0.9445544554455445,0.14455445544554446,505,0.3746804602434069,0.3364642340182958,True
test,prediction_hour,22,0.9,0.9742574257425742,0.07425742574257421,505,0.3746804602434069,0.3364642340182958,True
test,prediction_hour,23,0.5,0.7287128712871287,0.2287128712871287,505,0.3752105261949311,0.328595257610601,True
test,prediction_hour,23,0.8,0.9524752475247524,0.1524752475247524,505,0.3752105261949311,0.328595257610601,True
test,prediction_hour,23,0.9,0.9821782178217822,0.08217821782178214,505,0.3752105261949311,0.328595257610601,True
