split,method,bucket,prob_bin,mean_predicted_probability,empirical_frequency,count,calibration_error,bin_lower,bin_upper
validation,global_sigma_scaled,market_bucket_1,0.9-1.0,0.9752111427851701,0.9919743178170144,623,0.016763175031844324,0.9,1.0
validation,global_sigma_scaled,market_bucket_2,0.0-0.1,0.023239388047133124,0.008050603795284647,1739,-0.015188784251848476,0.0,0.1
validation,global_sigma_scaled,market_bucket_2,0.1-0.2,0.1500947623949957,0.22093023255813954,688,0.07083547016314384,0.1,0.2
validation,global_sigma_scaled,market_bucket_2,0.2-0.3,0.2527154858472869,0.34844868735083534,838,0.09573320150354842,0.2,0.30000000000000004
validation,global_sigma_scaled,market_bucket_2,0.3-0.4,0.3474927714628459,0.3797953964194373,782,0.03230262495659142,0.30000000000000004,0.4
validation,global_sigma_scaled,market_bucket_2,0.4-0.5,0.46228503596810083,0.3795121951219512,1025,-0.08277284084614961,0.4,0.5
validation,global_sigma_scaled,market_bucket_2,0.5-0.6,0.5417754178095193,0.49195784803105935,1803,-0.04981756977845997,0.5,0.6000000000000001
validation,global_sigma_scaled,market_bucket_2,0.6-0.7,0.6485309498402068,0.4758842443729904,311,-0.1726467054672164,0.6000000000000001,0.7000000000000001
validation,global_sigma_scaled,market_bucket_2,0.7-0.8,0.7427887772202673,0.7601626016260162,246,0.017373824405748972,0.7000000000000001,0.8
validation,global_sigma_scaled,market_bucket_2,0.8-0.9,0.8547288974296912,0.844559585492228,193,-0.010169311937463177,0.8,0.9
validation,global_sigma_scaled,market_bucket_2,0.9-1.0,0.9846823382627046,0.9861949956859362,1159,0.0015126574232315892,0.9,1.0
validation,global_sigma_scaled,market_bucket_3,0.0-0.1,0.03434438161297287,0.05715353007097497,5354,0.022809148458002103,0.0,0.1
validation,global_sigma_scaled,market_bucket_3,0.1-0.2,0.14415604103887888,0.18173302107728337,2135,0.037576980038404484,0.1,0.2
validation,global_sigma_scaled,market_bucket_3,0.2-0.3,0.23377053488747082,0.3623529411764706,425,0.12858240628899978,0.2,0.30000000000000004
validation,global_sigma_scaled,market_bucket_3,0.3-0.4,0.34596632500372293,0.5714285714285714,119,0.22546224642484847,0.30000000000000004,0.4
validation,global_sigma_scaled,market_bucket_3,0.4-0.5,0.45220672466459344,0.7872340425531915,94,0.3350273178885981,0.4,0.5
validation,global_sigma_scaled,market_bucket_3,0.5-0.6,0.5494178109742083,0.5714285714285714,105,0.02201076045436312,0.5,0.6000000000000001
validation,global_sigma_scaled,market_bucket_3,0.6-0.7,0.6511281292447698,0.9032258064516129,62,0.25209767720684306,0.6000000000000001,0.7000000000000001
validation,global_sigma_scaled,market_bucket_3,0.7-0.8,0.751664868125479,0.9863013698630136,73,0.2346365017375347,0.7000000000000001,0.8
validation,global_sigma_scaled,market_bucket_3,0.8-0.9,0.8537897441287029,0.9333333333333333,105,0.07954358920463045,0.8,0.9
validation,global_sigma_scaled,market_bucket_3,0.9-1.0,0.9629650091492967,0.9871794871794872,312,0.0242144780301905,0.9,1.0
validation,global_sigma_scaled,market_bucket_4,0.0-0.1,0.01417018729328539,0.02849616858237548,8352,0.01432598128909009,0.0,0.1
validation,global_sigma_scaled,market_bucket_4,0.1-0.2,0.1429739438757523,0.1566265060240964,83,0.013652562148344094,0.1,0.2
validation,global_sigma_scaled,market_bucket_4,0.2-0.3,0.2519251234950699,0.13333333333333333,45,-0.11859179016173657,0.2,0.30000000000000004
validation,global_sigma_scaled,market_bucket_4,0.3-0.4,0.3487786005494659,0.11363636363636363,44,-0.23514223691310226,0.30000000000000004,0.4
validation,global_sigma_scaled,market_bucket_4,0.4-0.5,0.4469219899342569,0.4166666666666667,36,-0.03025532326759023,0.4,0.5
validation,global_sigma_scaled,market_bucket_4,0.5-0.6,0.5592925048419379,0.23529411764705882,34,-0.3239983871948791,0.5,0.6000000000000001
validation,global_sigma_scaled,market_bucket_4,0.6-0.7,0.6448215872064674,0.2926829268292683,41,-0.35213866037719915,0.6000000000000001,0.7000000000000001
validation,global_sigma_scaled,market_bucket_4,0.7-0.8,0.7584366314359778,0.7254901960784313,51,-0.03294643535754649,0.7000000000000001,0.8
validation,global_sigma_scaled,market_bucket_4,0.8-0.9,0.8413466218890482,1.0,38,0.15865337811095181,0.8,0.9
validation,global_sigma_scaled,market_bucket_4,0.9-1.0,0.9456654146568498,1.0,60,0.054334585343150166,0.9,1.0
validation,global_sigma_scaled,market_bucket_5,0.0-0.1,0.0042238420878991335,0.008532226449901995,8673,0.004308384362002861,0.0,0.1
validation,global_sigma_scaled,market_bucket_5,0.1-0.2,0.13220875254291886,0.24444444444444444,45,0.11223569190152557,0.1,0.2
validation,global_sigma_scaled,market_bucket_5,0.2-0.3,0.2458139421312638,0.8444444444444444,45,0.5986305023131806,0.2,0.30000000000000004
validation,global_sigma_scaled,market_bucket_5,0.3-0.4,0.33847722390581747,1.0,18,0.6615227760941825,0.30000000000000004,0.4
validation,global_sigma_scaled,market_bucket_5,0.4-0.5,0.4192456873540083,1.0,3,0.5807543126459918,0.4,0.5
validation,global_sigma_scaled,market_bucket_5,0.5-0.6,,,0,,0.5,0.6000000000000001
validation,global_sigma_scaled,market_bucket_5,0.6-0.7,,,0,,0.6000000000000001,0.7000000000000001
validation,global_sigma_scaled,market_bucket_5,0.7-0.8,,,0,,0.7000000000000001,0.8
validation,global_sigma_scaled,market_bucket_5,0.8-0.9,,,0,,0.8,0.9
validation,global_sigma_scaled,market_bucket_5,0.9-1.0,,,0,,0.9,1.0
test,global_sigma_scaled,market_bucket_0,0.0-0.1,0.02863564117596319,0.05167987498604755,8959,0.02304423381008436,0.0,0.1
test,global_sigma_scaled,market_bucket_0,0.1-0.2,0.14286746073016046,0.2700777202072539,1544,0.12721025947709344,0.1,0.2
test,global_sigma_scaled,market_bucket_0,0.2-0.3,0.24163384702650212,0.44086021505376344,558,0.19922636802726132,0.2,0.30000000000000004
test,global_sigma_scaled,market_bucket_0,0.3-0.4,0.34489737106514995,0.6829971181556196,347,0.33809974709046964,0.30000000000000004,0.4
test,global_sigma_scaled,market_bucket_0,0.4-0.5,0.44136507275882725,0.8189655172413793,232,0.3776004444825521,0.4,0.5
test,global_sigma_scaled,market_bucket_0,0.5-0.6,0.5410678797498043,0.9692982456140351,228,0.4282303658642308,0.5,0.6000000000000001
test,global_sigma_scaled,market_bucket_0,0.6-0.7,0.6471483960642092,0.9505494505494505,182,0.30340105448524135,0.6000000000000001,0.7000000000000001
test,global_sigma_scaled,market_bucket_0,0.7-0.8,0.7566089417336778,0.9782608695652174,46,0.22165192783153964,0.7000000000000001,0.8
test,global_sigma_scaled,market_bucket_0,0.8-0.9,0.8304386934878639,1.0,24,0.16956130651213608,0.8,0.9
test,global_sigma_scaled,market_bucket_0,0.9-1.0,,,0,,0.9,1.0
test,global_sigma_scaled,market_bucket_1,0.0-0.1,0.014420557468048786,0.007845701209545603,3059,-0.006574856258503183,0.0,0.1
test,global_sigma_scaled,market_bucket_1,0.1-0.2,0.15909683473113584,0.21597353497164462,2116,0.05687670024050878,0.1,0.2
test,global_sigma_scaled,market_bucket_1,0.2-0.3,0.24643887482358895,0.27682737169517885,1929,0.0303884968715899,0.2,0.30000000000000004
test,global_sigma_scaled,market_bucket_1,0.3-0.4,0.34769566506458505,0.2583187390542907,1142,-0.08937692601029434,0.30000000000000004,0.4
test,global_sigma_scaled,market_bucket_1,0.4-0.5,0.4564834853473186,0.3179326546593579,1277,-0.1385508306879607,0.4,0.5
test,global_sigma_scaled,market_bucket_1,0.5-0.6,0.5423290077698116,0.3665236051502146,1165,-0.17580540261959704,0.5,0.6000000000000001
test,global_sigma_scaled,market_bucket_1,0.6-0.7,0.6403783940379122,0.5086505190311419,289,-0.1317278750067703,0.6000000000000001,0.7000000000000001
test,global_sigma_scaled,market_bucket_1,0.7-0.8,0.7504624377340209,0.7341772151898734,158,-0.016285222544147437,0.7000000000000001,0.8
test,global_sigma_scaled,market_bucket_1,0.8-0.9,0.8509997414261501,0.9736842105263158,190,0.12268446910016573,0.8,0.9
test,global_sigma_scaled,market_bucket_1,0.9-1.0,0.9824525856722839,0.9974842767295597,795,0.015031691057275864,0.9,1.0
test,global_sigma_scaled,market_bucket_2,0.0-0.1,0.02566675234448258,0.005410889414947582,2957,-0.020255862929534997,0.0,0.1
