fetched_at,ticker,outcome_side,quote_type,price_dollars,size_contracts,level,cumulative_size,source_book_side
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,YES,ask,0.05,121.0,5,18058.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,YES,ask,0.06,264.0,6,18322.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,YES,ask,0.07,19.0,7,18341.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,YES,ask,0.08,15.0,8,18356.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,YES,ask,0.09,3.0,9,18359.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,YES,ask,0.1,10.0,10,18369.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,YES,ask,0.11,3.0,11,18372.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,YES,ask,0.15,38.0,12,18410.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,YES,ask,0.25,19.0,13,18429.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,YES,ask,0.3,1.0,14,18430.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,YES,ask,0.34,30.0,15,18460.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,YES,ask,0.35,1.0,16,18461.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,YES,ask,0.37,746.0,17,19207.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,YES,ask,0.5,10.0,18,19217.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,YES,ask,0.55,9.0,19,19226.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-B89.5,YES,ask,0.59,100.0,20,19326.53,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T90,NO,bid,0.99,18164.01,1,18164.01,no_dollars
2026-09-01T18:16:09.256353-04:00,KXHIGHNY-26SEP01-T90,NO,bid,0.98,778.0,2,18942.01,no_dollars
