fetched_at,evaluated_at,ticker,staleness_seconds,max_staleness_seconds,best_yes_bid,best_yes_bid_size,best_yes_ask,best_yes_ask_size,yes_spread,yes_midpoint,best_no_bid,best_no_bid_size,best_no_ask,best_no_ask_size,no_spread,no_midpoint,yes_bid_depth,yes_ask_depth,no_bid_depth,no_ask_depth,max_spread_dollars,orderbook_status,orderbook_reason,event_ticker,close_time,market_status,eligible
2026-09-03T13:28:52.563519+00:00,2026-09-03T13:28:52.563519+00:00,KXHIGHNY-26SEP03-B85.5,0.0,,0.16,0.06,0.17,62.0,0.010000000000000009,0.165,0.83,62.0,0.84,0.06,0.010000000000000009,0.835,3097.1600000000003,1367.0900000000001,1367.0900000000001,3097.1600000000003,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-03T13:28:52.563519+00:00,2026-09-03T13:28:52.563519+00:00,KXHIGHNY-26SEP03-B83.5,0.0,,0.46,247.16,0.47,85.85,0.009999999999999953,0.46499999999999997,0.53,85.85,0.54,247.16,0.010000000000000009,0.535,1325.08,2306.62,2306.62,1325.08,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-03T17:45:21.970207+00:00,2026-09-03T17:45:21.970207+00:00,KXHIGHNY-26SEP04-T89,0.0,,,,0.01,395.0,,,0.99,395.0,,,,,0.0,2420.94,2420.94,0.0,,OK,,KXHIGHNY-26SEP04,2026-09-05T05:00:00Z,active,True
2026-09-03T17:45:21.970207+00:00,2026-09-03T17:45:21.970207+00:00,KXHIGHNY-26SEP04-T82,0.0,,0.27,40.0,0.28,8.0,0.010000000000000009,0.275,0.72,8.0,0.73,40.0,0.010000000000000009,0.725,915.0799999999999,1426.6799999999998,1426.6799999999998,915.0799999999999,,OK,,KXHIGHNY-26SEP04,2026-09-05T05:00:00Z,active,True
2026-09-03T17:45:21.970207+00:00,2026-09-03T17:45:21.970207+00:00,KXHIGHNY-26SEP04-B88.5,0.0,,,,0.01,25.0,,,0.99,25.0,,,,,0.0,1698.94,1698.94,0.0,,OK,,KXHIGHNY-26SEP04,2026-09-05T05:00:00Z,active,True
2026-09-03T17:45:21.970207+00:00,2026-09-03T17:45:21.970207+00:00,KXHIGHNY-26SEP04-B86.5,0.0,,0.07,0.99,0.09,10.44,0.01999999999999999,0.08,0.91,10.44,0.93,0.99,0.020000000000000018,0.92,2737.99,538.4200000000001,538.4200000000001,2737.99,,OK,,KXHIGHNY-26SEP04,2026-09-05T05:00:00Z,active,True
2026-09-03T17:45:21.970207+00:00,2026-09-03T17:45:21.970207+00:00,KXHIGHNY-26SEP04-B84.5,0.0,,0.26,23.0,0.29,31.0,0.02999999999999997,0.275,0.71,31.0,0.74,23.0,0.030000000000000027,0.725,2193.68,1917.2999999999997,1917.2999999999997,2193.68,,OK,,KXHIGHNY-26SEP04,2026-09-05T05:00:00Z,active,True
2026-09-03T17:45:21.970207+00:00,2026-09-03T17:45:21.970207+00:00,KXHIGHNY-26SEP04-B82.5,0.0,,0.39,32.0,0.4,10.0,0.010000000000000009,0.395,0.6,10.0,0.61,32.0,0.010000000000000009,0.605,1467.5900000000001,1836.6799999999998,1836.6799999999998,1467.5900000000001,,OK,,KXHIGHNY-26SEP04,2026-09-05T05:00:00Z,active,True
2026-09-03T17:45:21.970207+00:00,2026-09-03T17:45:21.970207+00:00,KXHIGHNY-26SEP03-T90,0.0,,,,0.01,10011.85,,,0.99,10011.85,,,,,0.0,19127.85,19127.85,0.0,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
2026-09-03T17:45:21.970207+00:00,2026-09-03T17:45:21.970207+00:00,KXHIGHNY-26SEP03-T83,0.0,,0.31,63.0,0.32,25.0,0.010000000000000009,0.315,0.68,25.0,0.69,63.0,0.009999999999999898,0.685,2914.31,1309.28,1309.28,2914.31,,OK,,KXHIGHNY-26SEP03,2026-09-04T05:00:00Z,active,True
